Unit(kPa)
Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
16:37:17,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:37:34,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:37:35,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:37:36,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:37:36,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:37:37,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:37:38,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:37:40,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:37:45,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:38:54,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:38:56,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:38:56,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:38:57,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:38:58,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:38:59,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:39:00,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:39:01,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:39:02,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:39:02,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:39:03,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:39:04,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:45:19,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:45:21,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:45:22,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:45:23,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:45:24,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:45:24,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:45:57,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:45:58,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:45:59,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:00,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:01,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:02,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:03,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:04,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:05,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:06,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:07,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:08,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:09,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:10,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:11,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:12,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:13,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:14,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:15,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:16,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:17,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:18,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:19,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
16:46:20,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
